iter	Passed	Remaining
402	10647	15772
403	10672	15745
404	10699	15718
405	10724	15690
406	10749	15662
407	10774	15633
408	10799	15605
409	10825	15577
410	10852	15552
411	10877	15523
412	10903	15497
413	10928	15468
414	10953	15440
415	10980	15414
416	11004	15385
417	11031	15359
418	11060	15336
419	11085	15308
420	11098	15263
421	11124	15236
422	11148	15207
423	11160	15161
424	11167	15109
425	11193	15081
426	11219	15055
427	11244	15028
428	11272	15003
429	11299	14978
430	11325	14951
431	11350	14923
432	11377	14898
433	11389	14854
434	11414	14825
435	11439	14797
436	11446	14746
437	11476	14725
438	11504	14701
439	11529	14673
440	11554	14645
441	11578	14617
442	11585	14567
443	11598	14523
444	11610	14480
445	11622	14437
446	11647	14410
447	11678	14389
448	11703	14362
449	11708	14310
450	11733	14282
451	11757	14254
452	11782	14227
453	11807	14199
454	11832	14172
455	11845	14131
456	11875	14109
457	11901	14084
458	11926	14057
459	11952	14030
460	11976	14003
461	12002	13977
462	12015	13935
463	12040	13908
464	12065	13881
465	12072	13833
466	12099	13809
467	12110	13766
468	12120	13722
469	12146	13697
470	12153	13650
471	12178	13623
472	12191	13583
473	12217	13557
474	12243	13532
475	12258	13494
476	12285	13470
477	12311	13444
478	12338	13420
479	12363	13393
480	12388	13367
481	12413	13340
482	12438	13313
483	12463	13287
484	12488	13260
485	12515	13236
486	12527	13196
487	12554	13171
488	12579	13145
489	12604	13118
490	12617	13079
491	12620	13031
492	12647	13006
493	12653	12961
494	12678	12934
495	12703	12908
496	12729	12882
497	12757	12859
498	12769	12820
499	12794	12794
500	12819	12768
501	12845	12743
502	12870	12716
503	12895	12690
504	12919	12663
505	12946	12639
506	12973	12615
507	12998	12588
508	13023	12562
509	13047	12536
510	13072	12509
511	13097	12483
512	13104	12440
513	13128	12413
514	13141	12375
515	13167	12351
516	13193	12326
517	13219	12300
518	13245	12275
519	13252	12232
520	13280	12209
521	13295	12174
522	13322	12150
523	13347	12124
524	13374	12100
525	13387	12063
526	13411	12037
527	13436	12011
528	13461	11985
529	13486	11959
530	13499	11922
531	13524	11897
532	13536	11860
533	13561	11834
534	13590	11812
535	13620	11790
536	13632	11754
537	13640	11713
538	13644	11669
539	13668	11643
540	13693	11618
541	13705	11581
542	13730	11556
543	13755	11530
544	13779	11504
545	13793	11469
546	13822	11446
547	13831	11408
548	13856	11382
549	13882	11358
550	13907	11332
551	13932	11307
552	13944	11271
553	13948	11229
554	13973	11204
555	14002	11182
556	14016	11147
557	14023	11108
558	14030	11068
559	14056	11044
560	14086	11023
561	14119	11003
562	14150	10983
563	14182	10963
564	14213	10943
565	14246	10923
566	14276	10902
567	14312	10885
568	14320	10847
569	14323	10805
570	14354	10784
571	14364	10748
572	14394	10726
573	14426	10706
574	14455	10684
575	14483	10661
576	14508	10636
577	14534	10611
578	14543	10574
579	14568	10549
580	14594	10525
581	14601	10487
582	14627	10462
583	14655	10439
584	14683	10416
585	14707	10390
586	14733	10366
587	14738	10326
588	14762	10301
589	14786	10275
590	14812	10250
591	14824	10216
592	14853	10194
593	14882	10172
594	14906	10146
595	14931	10121
596	14955	10095
597	14980	10070
598	15004	10045
599	15017	10011
600	15041	9986
601	15067	9961
602	15093	9937
603	15122	9914
604	15146	9889
605	15171	9864
606	15196	9838
607	15200	9800
608	15212	9766
609	15237	9741
610	15262	9716
611	15287	9692
612	15315	9669
613	15329	9637
614	15355	9612
615	15380	9587
616	15405	9562
617	15417	9529
618	15421	9492
619	15446	9467
620	15470	9442
621	15477	9406
622	15503	9381
623	15530	9358
624	15558	9334
625	15589	9313
626	15613	9288
627	15640	9264
628	15664	9239
629	15689	9214
630	15719	9192
631	15746	9169
632	15772	9144
633	15779	9109
634	15804	9084
635	15829	9059
636	15853	9034
637	15878	9009
638	15903	8984
639	15930	8960
640	15959	8938
641	15972	8906
642	15996	8881
643	16003	8846
644	16028	8821
645	16053	8797
646	16078	8772
647	16102	8747
648	16127	8722
649	16142	8692
650	16171	8669
651	16184	8638
652	16208	8613
653	16234	8588
654	16259	8564
655	16271	8532
656	16283	8501
657	16310	8477
658	16335	8452
659	16362	8428
660	16375	8398
661	16400	8373
662	16425	8349
663	16450	8324
664	16475	8299
665	16481	8265
666	16506	8240
667	16512	8207
668	16537	8182
669	16561	8157
670	16589	8134
671	16616	8110
672	16641	8085
673	16665	8060
674	16690	8036
675	16715	8011
676	16741	7987
677	16769	7964
678	16784	7935
679	16793	7902
680	16820	7879
681	16827	7846
682	16853	7822
683	16879	7798
684	16906	7774
685	16934	7751
686	16960	7727
687	16985	7702
688	17012	7678
689	17037	7654
690	17062	7630
691	17088	7605
692	17101	7576
693	17113	7545
694	17126	7516
695	17152	7491
696	17177	7467
697	17191	7437
698	17208	7410
699	17236	7386
700	17261	7362
701	17287	7338
702	17311	7313
703	17336	7289
704	17362	7264
705	17386	7240
706	17400	7211
707	17408	7179
708	17435	7156
709	17461	7131
710	17485	7107
711	17510	7082
712	17535	7058
713	17559	7033
714	17584	7009
715	17610	6985
716	17639	6962
717	17664	6937
718	17677	6908
719	17701	6884
720	17726	6859
721	17751	6835
722	17778	6811
723	17805	6787
724	17832	6764
725	17841	6733
726	17865	6708
727	17891	6684
728	17903	6655
729	17915	6626
730	17940	6601
731	17965	6577
732	17990	6553
733	18017	6529
734	18045	6506
735	18055	6476
736	18084	6453
737	18111	6429
738	18136	6405
739	18160	6380
740	18186	6356
741	18211	6332
742	18236	6307
743	18262	6283
744	18288	6259
745	18314	6235
746	18338	6211
747	18363	6186
748	18391	6163
749	18417	6139
750	18441	6114
751	18467	6090
752	18493	6066
753	18519	6042
754	18544	6017
755	18569	5993
756	18594	5968
757	18618	5944
758	18632	5916
759	18657	5891
760	18688	5869
761	18715	5845
762	18740	5820
763	18765	5796
764	18790	5772
765	18814	5747
766	18839	5723
767	18864	5698
768	18888	5673
769	18919	5651
770	18946	5627
771	18971	5603
772	18996	5578
773	19021	5553
774	19046	5529
775	19070	5504
776	19097	5480
777	19124	5457
778	19149	5432
779	19174	5408
780	19199	5383
781	19224	5359
782	19249	5334
783	19261	5306
784	19286	5282
785	19312	5258
786	19339	5234
787	19364	5209
788	19389	5185
789	19414	5160
790	19440	5136
791	19469	5113
792	19495	5089
793	19521	5064
794	19550	5041
795	19575	5016
796	19603	4993
797	19632	4969
798	19663	4946
799	19694	4923
800	19723	4899
801	19759	4878
802	19790	4855
803	19805	4828
804	19837	4805
805	19867	4781
806	19895	4758
807	19922	4734
808	19951	4710
809	19980	4686
810	20005	4662
811	20029	4637
812	20055	4613
813	20080	4588
814	20093	4561
815	20120	4537
816	20145	4512
817	20177	4489
818	20205	4465
819	20231	4440
820	20258	4416
821	20283	4392
822	20308	4367
823	20332	4342
824	20359	4318
825	20373	4291
826	20403	4268
827	20431	4244
828	20455	4219
829	20481	4194
830	20506	4170
831	20531	4145
832	20557	4121
833	20582	4096
834	20594	4069
835	20621	4045
836	20651	4021
837	20675	3996
838	20703	3972
839	20727	3948
840	20753	3923
841	20778	3899
842	20803	3874
843	20828	3849
844	20855	3825
845	20883	3801
846	20908	3776
847	20933	3752
848	20958	3727
849	20983	3703
850	21008	3678
851	21035	3654
852	21064	3630
853	21090	3605
854	21103	3578
855	21128	3554
856	21152	3529
857	21177	3504
858	21202	3480
859	21226	3455
860	21255	3431
861	21281	3407
862	21306	3382
863	21330	3357
864	21355	3332
865	21380	3308
866	21405	3283
867	21429	3258
868	21454	3234
869	21483	3210
870	21511	3185
871	21536	3161
872	21563	3136
873	21588	3112
874	21613	3087
875	21638	3062
876	21663	3038
877	21675	3011
878	21704	2987
879	21730	2963
880	21755	2938
881	21780	2913
882	21805	2889
883	21830	2864
884	21856	2840
885	21881	2815
886	21909	2791
887	21938	2767
888	21964	2742
889	21989	2717
890	22013	2693
891	22038	2668
892	22063	2643
893	22088	2618
894	22101	2592
895	22128	2568
896	22155	2544
897	22171	2518
898	22200	2494
899	22233	2470
900	22250	2444
901	22277	2420
902	22306	2396
903	22335	2371
904	22348	2346
905	22364	2320
906	22379	2294
907	22407	2270
908	22419	2244
909	22444	2219
910	22468	2195
911	22493	2170
912	22518	2145
913	22547	2121
914	22577	2097
915	22606	2073
916	22621	2047
917	22637	2022
918	22661	1997
919	22686	1972
920	22712	1948
921	22726	1922
922	22755	1898
923	22767	1872
924	22797	1848
925	22824	1823
926	22837	1798
927	22862	1773
928	22888	1749
929	22914	1724
930	22939	1700
931	22951	1674
932	22979	1650
933	22995	1624
934	23021	1600
935	23033	1574
936	23058	1550
937	23084	1525
938	23109	1501
939	23133	1476
940	23145	1451
941	23170	1426
942	23196	1402
943	23223	1377
944	23251	1353
945	23276	1328
946	23300	1304
947	23325	1279
948	23349	1254
949	23374	1230
950	23399	1205
951	23424	1181
952	23453	1156
953	23478	1132
954	23503	1107
955	23528	1082
956	23554	1058
957	23579	1033
958	23606	1009
959	23635	984
960	23661	960
961	23686	935
962	23711	911
963	23736	886
964	23761	861
965	23786	837
966	23798	812
967	23812	787
968	23841	762
969	23868	738
970	23893	713
971	23918	689
972	23943	664
973	23956	639
974	23981	614
975	24006	590
976	24033	565
977	24047	540
978	24072	516
979	24096	491
980	24121	467
981	24148	442
982	24161	417
983	24186	393
984	24211	368
985	24218	343
986	24247	319
987	24279	294
988	24308	270
989	24337	245
990	24365	221
991	24379	196
992	24395	171
993	24422	147
994	24447	122
995	24465	98
996	24494	73
997	24519	49
998	24544	24
999	24569	0
