,real_value,reg_br,reg_ridge,reg_ridgecv,reg_lr,reg_encv,reg_lassocv,reg_larscv
344,0.01310921568627451,0.01563355030606709,0.01610515708110689,0.01610515708110689,0.01558490751665053,0.01607571601588082,0.01616883282275012,0.016100229362017056
345,0.019558823529411764,0.015779259657624004,0.01614702690813445,0.01614702690813445,0.016102450811507896,0.016278430611939856,0.0163544339249284,0.016284751958906215
346,0.015546323529411762,0.015478382591234071,0.015928128765850185,0.015928128765850185,0.015323955137763311,0.016084092146429724,0.016155432367240524,0.01605782804554155
347,0.0206218137254902,0.015847489973729628,0.016042178327982402,0.016042178327982402,0.015958848823245903,0.016326034962537074,0.01642485956965659,0.016303888028523922
348,0.022330392156862743,0.016000001282342077,0.01619323513780227,0.01619323513780227,0.016143772746014494,0.016429855140930098,0.01653289205259308,0.01635832498764951
349,0.014443676470588238,0.014699549021295777,0.014780904938958839,0.014780904938958839,0.014835927101650659,0.01497588829080701,0.015085451396071752,0.014676450340142998
350,0.022582450980392157,0.018112713198624546,0.01777366690880977,0.01777366690880977,0.017986121967282727,0.01782850798157455,0.017800180949792535,0.017825742586488936
351,0.017178970588235292,0.01812214601722929,0.017940283805226206,0.017940283805226206,0.018246704810258963,0.01785118497807476,0.017787054516605866,0.01782844551927057
352,0.0156931862745098,0.017757302728572257,0.017584021188883622,0.017584021188883622,0.01787415008336415,0.017589255633465493,0.017501458825479706,0.017535688932748483
353,0.01762941176470588,0.016941242192946432,0.016844696368954373,0.016844696368954373,0.01690098001019682,0.016924825480555766,0.016848311240083867,0.016923498308179227
354,0.010901813725490195,0.015975293442215,0.015848737085162892,0.015848737085162892,0.015907689756027174,0.015891347194760663,0.015795730385632006,0.01590335427408189
355,0.016663627450980392,0.014909600425297048,0.014881807111116533,0.014881807111116533,0.015353602792680578,0.014890550359247155,0.014763525927579062,0.014849434922777516
356,0.009769264705882352,0.013919934835342134,0.013910854906049746,0.013910854906049746,0.013907588940888152,0.014148267818793078,0.014049238246844814,0.014125925419219344
357,0.01219627450980392,0.01315264007022144,0.012972627119428717,0.012972627119428717,0.012703599211418625,0.012909509196328217,0.012796150821038282,0.012936568570365316
358,0.013942401960784313,0.013228728224274284,0.012906049140134383,0.012906049140134383,0.013060773852184147,0.012610290996616223,0.012557023474965012,0.012682363340756606
359,0.01170950980392157,0.012971728096794729,0.012938568513931596,0.012938568513931596,0.012819974733484032,0.012509642811103894,0.012457154808325321,0.012563903792234779
360,0.013124901960784313,0.013496742956612472,0.013336753953446558,0.013336753953446558,0.013761734171022633,0.013084450354968698,0.013046301831623763,0.013101653488983341
361,0.012492303921568628,0.014140954412978928,0.014079954654771302,0.014079954654771302,0.01415156860958346,0.014067057476046384,0.014027242647786035,0.014099742830819547
362,0.016298137254901958,0.014959503065732765,0.01479057686933608,0.01479057686933608,0.015151725495461846,0.014802268357125437,0.014733385323044672,0.01488438591677023
363,0.01457406862745098,0.015413610000107433,0.015426573678654543,0.015426573678654543,0.015687324813334805,0.015442345962624626,0.015383411778871984,0.015471647349096927
364,0.015953725490196077,0.015778933276215157,0.015896446190852682,0.015896446190852682,0.0155313475979642,0.01593930039919848,0.015967356226006382,0.01598808440120583
365,0.01827647058823529,0.016146555289921947,0.01654882905033755,0.01654882905033755,0.015590426800467603,0.01612165477391038,0.016177152337519984,0.016194319126225994
366,0.020295294117647057,0.01790008681247538,0.017927011411742376,0.017927011411742376,0.017730607216374844,0.01734677129896925,0.01741885924563906,0.017540428984733483
367,0.01712666666666666,0.018683466938301453,0.01862405270343818,0.01862405270343818,0.018574443614299278,0.01794060689590385,0.01797928249098326,0.018202541854003114
368,0.02233642156862745,0.019274925529366965,0.019069215999138158,0.019069215999138158,0.0194127682260551,0.01851388611209669,0.01850082739693562,0.018715852443453612
369,0.021813529411764704,0.01873835469984751,0.018822799152529837,0.018822799152529837,0.018782563265591655,0.01853153843364885,0.01851520596732583,0.018710002720761305
370,0.021759215686274508,0.018375735845277182,0.018404530849226483,0.018404530849226483,0.01868327000605271,0.01814656404704956,0.018113962465768022,0.01842294711666613
371,0.02021009803921569,0.01765776313541034,0.01762400925857874,0.01762400925857874,0.01755991367981816,0.017325898127098317,0.01729358208411509,0.01758784240048449
372,0.01805705882352941,0.016507917395639653,0.016853057028020042,0.016853057028020042,0.016530625033467986,0.01666191382328735,0.016619145496159466,0.016901808186740735
373,0.018818872549019604,0.014817480117255692,0.015314816782373961,0.015314816782373961,0.014734143292836371,0.015584670012839988,0.015607807743531165,0.015646469997813477
374,0.011691176470588234,0.013582459592848505,0.013849391735143178,0.013849391735143178,0.013685165246575955,0.01423702587268123,0.014242163558833867,0.014276834508436156
375,0.007862598039215686,0.012477615491440375,0.012536735999922274,0.012536735999922274,0.012651355508837359,0.012967184577680892,0.01295989404190534,0.012954343843310092
376,0.007409117647058824,0.011575397974734102,0.011329797625072588,0.011329797625072588,0.011800036660234797,0.011798098843073031,0.0117917273210239,0.011536584430046827
377,0.0027300000000000002,0.012607280623040104,0.01220873791106036,0.01220873791106036,0.013057394279122456,0.012436892985416427,0.012355750056723187,0.012253601495088737
378,0.006627156862745097,0.012708034695405287,0.012267789683376525,0.012267789683376525,0.01257746610130583,0.012369867366834326,0.012277164373568909,0.012200421002136357
379,0.007815098039215686,0.013120109814223086,0.012362535257257773,0.012362535257257773,0.012856143922251434,0.012207858873020214,0.012089123742999704,0.012126507370878913
380,0.01407014705882353,0.012938462433894701,0.012481900157617767,0.012481900157617767,0.01273041648301905,0.012360711216299617,0.012261425982658811,0.01228890296177041
381,0.017002941176470592,0.01266638646649679,0.012417234648885347,0.012417234648885347,0.013070898190843193,0.012316149593022449,0.012218356405413869,0.012242166502366161
382,0.015448382352941175,0.012490500927138689,0.012503687630447805,0.012503687630447805,0.01301535449978373,0.012460535472515532,0.0124280670454959,0.012408692792587259
383,0.01994191176470588,0.012451622045238395,0.01268493360598192,0.01268493360598192,0.012907705050101602,0.012683648437901332,0.01266983527652928,0.012632774410884232
384,0.01433362745098039,0.012756934312649702,0.01308164032260234,0.01308164032260234,0.012305429978485508,0.013211361873277351,0.013227784983101912,0.013175102047914833
385,0.013666715686274507,0.013410021444118174,0.013655618172105179,0.013655618172105179,0.012805054889936154,0.013795756021097907,0.01384012633268996,0.01379707610252217
